certification_id,employee_id,course_id,certification_name,vendor,certificate_uploaded,certificate_status,upload_date,verification_date,days_to_verify,upload_month,is_verified,_gold_created_ts,_gold_updated_ts
CERT001,E10001,C1001_DB,Databricks Lakehouse Fundamentals Certification,Databricks,Yes,Verified,22-01-2024,25-01-2024,3,2024-01,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT301,E10001,C1002_DB,Databricks Lakehouse Fundamentals Certification,Databricks,Yes,Verified,22-05-2024,25-05-2024,3,2024-05,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT002,E10002,C1002_DB,Databricks Lakehouse Fundamentals Certification,Databricks,Yes,Verified,28-01-2024,30-01-2024,2,2024-01,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT302,E10002,C1012_DB,PySpark Basic Certification,Databricks,Yes,Verified,28-05-2024,30-05-2024,2,2024-05,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT003,E10003,C1011_DB,PySpark Basic Certification,Databricks,Yes,Verified,08-02-2024,10-02-2024,2,2024-02,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT303,E10003,C1152_MS,Azure Data Fundamentals DP-900,Microsoft,Yes,Verified,30-05-2024,02-06-2024,3,2024-05,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT004,E10004,C1151_MS,Azure Data Fundamentals DP-900,Microsoft,Yes,Verified,12-02-2024,15-02-2024,3,2024-02,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT304,E10004,C1162_MS,Azure Synapse Analytics Certification,Microsoft,Yes,Verified,05-06-2024,08-06-2024,3,2024-06,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT405,E10005,C1161_MS,Azure Synapse Analytics Certification,Microsoft,Yes,Verified,18-02-2024,20-02-2024,2,2024-02,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT305,E10005,C1252_MS,Azure OpenAI Architect Certification,Microsoft,No,Pending,null,null,null,null,FALSE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT306,E10006,C1202_MS,Azure Cloud Administration Certification,Microsoft,Yes,Verified,12-06-2024,15-06-2024,3,2024-06,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
