course_id,course_name,category,vendor,delivery_mode,duration_hours,difficulty_level,_gold_created_ts,_gold_updated_ts
C1001_DB,Databricks Lakehouse Fundamentals Part 1,Data,Databricks,Self-paced,2.5,Beginner,2026-06-09T17:52:57.256Z,2026-06-10T12:08:38.343Z
C1002_DB,Databricks Lakehouse Fundamentals Part 2,Data,Databricks,Self-paced,2.5,Beginner,2026-06-09T17:52:57.256Z,2026-06-10T12:08:38.343Z
C1003_DB,Databricks Lakehouse Fundamentals Part 3,Data,Databricks,Self-paced,2.5,Beginner,2026-06-09T17:52:57.256Z,2026-06-10T12:08:38.343Z
C1004_DB,Databricks Lakehouse Fundamentals Part 4,Data,Databricks,Self-paced,2.5,Beginner,2026-06-09T17:52:57.256Z,2026-06-10T12:08:38.343Z
C1005_DB,Databricks Lakehouse Fundamentals Part 5,Data,Databricks,Self-paced,2.5,Beginner,2026-06-09T17:52:57.256Z,2026-06-10T12:08:38.343Z
C1006_DB,Databricks Lakehouse Fundamentals Part 6,Data,Databricks,Self-paced,2.5,Beginner,2026-06-09T17:52:57.256Z,2026-06-10T12:08:38.343Z
C1007_DB,Databricks Lakehouse Fundamentals Part 7,Data,Databricks,Self-paced,2.5,Beginner,2026-06-09T17:52:57.256Z,2026-06-10T12:08:38.343Z
C1008_DB,Databricks Lakehouse Fundamentals Part 8,Data,Databricks,Self-paced,2.5,Beginner,2026-06-09T17:52:57.256Z,2026-06-10T12:08:38.343Z
C1009_DB,Databricks Lakehouse Fundamentals Part 9,Data,Databricks,Self-paced,2.5,Beginner,2026-06-09T17:52:57.256Z,2026-06-10T12:08:38.343Z
C1010_DB,Databricks Lakehouse Fundamentals Part 10,Data,Databricks,Self-paced,2.5,Beginner,2026-06-09T17:52:57.256Z,2026-06-10T12:08:38.343Z
C1011_DB,Introduction To Pyspark Module 1,Data,Databricks,Self-paced,4,Beginner,2026-06-09T17:52:57.256Z,2026-06-10T12:08:38.343Z
C1012_DB,Introduction To Pyspark Module 2,Data,Databricks,Self-paced,4,Beginner,2026-06-09T17:52:57.256Z,2026-06-10T12:08:38.343Z
C1013_DB,Introduction To Pyspark Module 3,Data,Databricks,Self-paced,4,Beginner,2026-06-09T17:52:57.256Z,2026-06-10T12:08:38.343Z
