skill_id,employee_id,primary_skill,secondary_skill,skill_category,skill_combo,skills_declared,skills_verified,skill_readiness_status,is_declared,is_verified,verification_gap,_gold_created_ts,_gold_updated_ts
SK491,E10001,PySpark,Cloud Native,Data & Analytics,PySpark | Cloud Native,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK001,E10001,PySpark,Databricks,Data & Analytics,PySpark | Databricks,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK002,E10002,Databricks,SQL,Data & Analytics,Databricks | SQL,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK003,E10003,Data Engineering,Python,Data & Analytics,Data Engineering | Python,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK004,E10004,Power BI,Data Modeling,Visualization & BI,Power BI | Data Modeling,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK005,E10005,Tableau,SQL,Visualization & BI,Tableau | SQL,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK006,E10006,Machine Learning,Python,Data & Analytics,Machine Learning | Python,No,null,Not Declared,false,null,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK007,E10007,Azure,Cloud Architecture,Cloud & DevOps,Azure | Cloud Architecture,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK008,E10008,Full Stack,React,Programming,Full Stack | React,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK009,E10009,SAP,ERP,Enterprise Apps,SAP | ERP,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK010,E10010,Healthcare Analytics,SQL,Domain / Industry,Healthcare Analytics | SQL,No,No,Not Declared,false,false,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK011,E10011,PySpark,ETL,Data & Analytics,PySpark | ETL,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK012,E10012,SQL,Databricks,Data & Analytics,SQL | Databricks,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK013,E10013,Python,SQL,Programming,Python | SQL,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK014,E10014,Databricks,Azure,Data & Analytics,Databricks | Azure,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK015,E10015,PySpark,ETL,Data & Analytics,PySpark | ETL,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK016,E10016,Power BI,DAX,Visualization & BI,Power BI | DAX,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK017,E10017,Power BI,SQL,Visualization & BI,Power BI | SQL,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK018,E10018,SQL,Excel,Data & Analytics,SQL | Excel,No,null,Not Declared,false,null,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK019,E10019,Tableau,Python,Visualization & BI,Tableau | Python,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK020,E10020,Deep Learning,NLP,Data & Analytics,Deep Learning | NLP,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK021,E10021,Machine Learning,R,Data & Analytics,Machine Learning | R,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK022,E10022,Python,Machine Learning,Programming,Python | Machine Learning,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK023,E10023,Azure,DevOps,Cloud & DevOps,Azure | DevOps,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK024,E10024,AWS,Cloud Native,Cloud & DevOps,AWS | Cloud Native,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK025,E10025,Cloud Architecture,Azure,Cloud & DevOps,Cloud Architecture | Azure,No,No,Not Declared,false,false,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK026,E10026,Java,Spring Boot,Programming,Java | Spring Boot,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK027,E10027,React,Node.js,Programming,React | Node.js,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK029,E10029,Salesforce,CRM,Enterprise Apps,Salesforce | CRM,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK030,E10030,Power Apps,SharePoint,Visualization & BI,Power Apps | SharePoint,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK031,E10031,Supply Chain,Analytics,Domain / Industry,Supply Chain | Analytics,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK032,E10032,Retail Insights,SQL,Domain / Industry,Retail Insights | SQL,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK033,E10033,Databricks,PySpark,Data & Analytics,Databricks | PySpark,No,null,Not Declared,false,null,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK034,E10034,ETL,SQL,Data & Analytics,ETL | SQL,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK035,E10035,PySpark,Azure,Data & Analytics,PySpark | Azure,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK036,E10036,Power BI,SQL,Visualization & BI,Power BI | SQL,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK037,E10037,Tableau,Dashboarding,Visualization & BI,Tableau | Dashboarding,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK038,E10038,Python,SQL,Programming,Python | SQL,No,No,Not Declared,false,false,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK039,E10039,Azure,Networking,Cloud & DevOps,Azure | Networking,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK040,E10040,Full Stack,Java,Programming,Full Stack | Java,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK042,E10042,Healthcare Analytics,Domain Consulting,Domain / Industry,Healthcare Analytics | Domain Consulting,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK043,E10043,PySpark,ETL,Data & Analytics,PySpark | ETL,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK044,E10044,Databricks,Delta Lake,Data & Analytics,Databricks | Delta Lake,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK045,E10045,SQL,Python,Data & Analytics,SQL | Python,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK046,E10046,Power BI,Tableau,Visualization & BI,Power BI | Tableau,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK047,E10047,SQL,Analytics,Data & Analytics,SQL | Analytics,No,null,Not Declared,false,null,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK048,E10048,Machine Learning,Data Science,Data & Analytics,Machine Learning | Data Science,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK049,E10049,NLP,Deep Learning,Data & Analytics,NLP | Deep Learning,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
