employee_id,course_id,learning_id,course_request_id,approval_status,completion_status,is_passed,course_domain,request_date,approval_date,enrollment_date,start_date,completion_date,score,passing_score,score_gap,days_to_approve,days_to_enroll,days_to_start,days_to_complete,total_learning_days,is_completed,score_band,feedback_id,feedback_rating,feedback_recommended,has_text_feedback,feedback_text_length,feedback_rating_band,trainer_name,feedback_date,feedback_year,feedback_month,feedback_quarter,_gold_created_ts,_gold_updated_ts
E10001,C1001_DB,LRN1001,REQ5001,Approved,Completed,true,Data & BI,2024-01-10,2024-01-11,2024-01-12,2024-01-15,2024-01-20,85,70,15,1,1,3,5,10,true,Good,FB171,4.5,true,true,17,High,Dr. Aris,2024-01-21,2024,1,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10002,C1002_DB,LRN1002,REQ5002,Approved,Completed,true,Data & BI,2024-01-12,2024-01-12,2024-01-14,2024-01-16,2024-01-25,92,70,22,0,2,2,9,13,true,Excellent,FB172,4.2,true,true,13,High,Dr. Aris,2024-01-26,2024,1,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10003,C1011_DB,LRN1003,REQ5003,Approved,Completed,true,Data & BI,2024-01-15,2024-01-16,2024-01-18,2024-01-20,2024-02-05,78,75,3,1,2,2,16,21,true,Good,FB173,3.8,true,true,16,Medium,Prof. Miller,2024-02-06,2024,2,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10004,C1151_MS,LRN1004,REQ5004,Approved,Completed,true,Microsoft / Office,2024-01-18,2024-01-20,2024-01-21,2024-01-25,2024-02-10,88,80,8,2,1,4,16,23,true,Good,FB174,4,true,true,6,High,Azure Expert A,2024-02-11,2024,2,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10005,C1161_MS,LRN1005,REQ5005,Approved,Completed,true,Microsoft / Office,2024-01-20,2024-01-21,2024-01-23,2024-01-28,2024-02-15,95,80,15,1,2,5,18,26,true,Excellent,FB175,4.7,true,true,10,Excellent,Azure Expert B,2024-02-16,2024,2,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10006,C1251_MS,LRN1006,REQ5006,Approved,Completed,true,Microsoft / Office,2024-01-22,2024-01-24,2024-01-25,2024-02-01,2024-02-20,81,75,6,2,1,7,19,29,true,Good,FB176,3.5,false,true,9,Medium,Azure Expert A,2024-02-21,2024,2,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10007,C1201_MS,LRN1007,REQ5007,Approved,Completed,true,Microsoft / Office,2024-01-25,2024-01-25,2024-01-28,2024-02-05,2024-02-25,89,70,19,0,3,8,20,31,true,Good,FB177,4.3,true,true,9,High,Azure Expert B,2024-02-26,2024,2,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10008,C1401_CR,LRN1008,REQ5008,Approved,Completed,true,Core / Compliance,2024-01-28,2024-01-29,2024-01-30,2024-02-10,2024-03-01,76,70,6,1,1,11,20,33,true,Good,FB178,4.1,true,true,14,High,Coursera Lead,2024-03-02,2024,3,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10009,C1431_CR,LRN1009,REQ5009,Approved,Completed,true,Core / Compliance,2024-02-01,2024-02-02,2024-02-05,2024-02-15,2024-03-05,90,75,15,1,3,10,19,33,true,Excellent,FB179,4.8,true,true,9,Excellent,Coursera Lead,2024-03-06,2024,3,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10010,C1301_CR,LRN1010,REQ5010,Approved,Completed,true,Core / Compliance,2024-02-05,2024-02-06,2024-02-08,2024-02-20,2024-03-10,84,70,14,1,2,12,19,34,true,Good,FB180,3.9,true,true,9,Medium,Coursera Expert,2024-03-11,2024,3,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10011,C1021_DB,LRN1011,REQ5011,Approved,Completed,true,Data & BI,2024-02-08,2024-02-09,2024-02-10,2024-02-25,2024-03-15,82,70,12,1,1,15,19,36,true,Good,FB181,4.4,true,true,17,High,Dr. Aris,2024-03-16,2024,3,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
